Question id	Question name	Choice name	Assumption q id	Assumption q name	Assumption choice name	exposure
637	When will commercial production of a microprocessor on a 450 millimeter silicon wafer begin?	By December 31, 2016				-9.082
637	When will commercial production of a microprocessor on a 450 millimeter silicon wafer begin?	January 1, 2017 - December 31, 2019				40.93
637	When will commercial production of a microprocessor on a 450 millimeter silicon wafer begin?	January 1, 2020 - December 31, 2022				-10.09
637	When will commercial production of a microprocessor on a 450 millimeter silicon wafer begin?	January 1, 2023 - December 31, 2025				40.93
637	When will commercial production of a microprocessor on a 450 millimeter silicon wafer begin?	January 1, 2026 - December 31, 2028				40.93
637	When will commercial production of a microprocessor on a 450 millimeter silicon wafer begin?	Will not occur before January 1, 2029				-6.234
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	Hillary Clinton				597.755
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	Joe Biden				53.074
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	Andrew Cuomo				-3376.017
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	Rand Paul				-3433.303
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	Rick Perry				1305.454
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	Paul Ryan				488.283
371	Which of the following 2016 presidential candidates will be the first to accept Bitcoin campaign contributions?	None of these candidates will accept BTC contributions by the question deadline				-950.874
354	Will Apple integrate a sapphire crystal solar power screen in its new iPhone6, due to be released later in 2014?	False				144.084
354	Will Apple integrate a sapphire crystal solar power screen in its new iPhone6, due to be released later in 2014?	True				-379.945
566	The Internet of Things (IoT) consisted of about 20 billion connected devices at the end of 2013. How many 'things' will be connected to the Internet by the end of 2014?	Less than 20 billion				-95.409
566	The Internet of Things (IoT) consisted of about 20 billion connected devices at the end of 2013. How many 'things' will be connected to the Internet by the end of 2014?	20-21 billion				375.376
566	The Internet of Things (IoT) consisted of about 20 billion connected devices at the end of 2013. How many 'things' will be connected to the Internet by the end of 2014?	21-22 billion				-150.3
566	The Internet of Things (IoT) consisted of about 20 billion connected devices at the end of 2013. How many 'things' will be connected to the Internet by the end of 2014?	22-23 billion				375.376
566	The Internet of Things (IoT) consisted of about 20 billion connected devices at the end of 2013. How many 'things' will be connected to the Internet by the end of 2014?	23 billion or more				375.376
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	Cristobal				3.232
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	Dolly				3.232
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	Edouard				3.232
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	Gonzalo				3.232
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	Hanna				3.232
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	Isaias				3.232
835	Which of the following Atlantic tropical storms will be the next to make U. S. landfall?	None of these will make U. S. landfall by November 30, 2014				-30.817
837	Will NASA's measurement of thrust from an 'impossible' space drive be reproduced on the next try?	False				49.642
837	Will NASA's measurement of thrust from an 'impossible' space drive be reproduced on the next try?	True				-55.255
469	Will the number of US patents granted in 2014 using the term 'virtual model(s)' in their title or abstract be greater than the number of US patents granted in 2013 using the same term?	False				29.719
469	Will the number of US patents granted in 2014 using the term 'virtual model(s)' in their title or abstract be greater than the number of US patents granted in 2013 using the same term?	True				-75.968
622	Will the U.S. become a net exporter of natural gas by the end of 2016?	False				18.442
622	Will the U.S. become a net exporter of natural gas by the end of 2016?	True				-16.35
379	Worldwide Semiconductor Sales reached US$305.6 billion in 2013. What will be the total for 2014?	Less than $305 Billion				-16.822
379	Worldwide Semiconductor Sales reached US$305.6 billion in 2013. What will be the total for 2014?	Between $305 and $308 Billion				-16.822
379	Worldwide Semiconductor Sales reached US$305.6 billion in 2013. What will be the total for 2014?	Between $308 and $312 Billion				-16.822
379	Worldwide Semiconductor Sales reached US$305.6 billion in 2013. What will be the total for 2014?	Between $312 and $316 Billion				31.919
379	Worldwide Semiconductor Sales reached US$305.6 billion in 2013. What will be the total for 2014?	Between $316 and $320 Billion				-16.822
379	Worldwide Semiconductor Sales reached US$305.6 billion in 2013. What will be the total for 2014?	$320 Billion or greater				7.365
425	Will the Japan-based over-the-top (OTT) messaging company Line Corporation complete an IPO before the end of 2014?	False				78.844
425	Will the Japan-based over-the-top (OTT) messaging company Line Corporation complete an IPO before the end of 2014?	True				-50.379
326	Will NASA detect a near Earth object (NEO) with an estimated Earth impact risk of greater than 0.081 by the end of 2014?	False				2.598
326	Will NASA detect a near Earth object (NEO) with an estimated Earth impact risk of greater than 0.081 by the end of 2014?	True				-7.945
839	How many concussions will be sustained in the 2014 NFL season from helmet-to-helmet collisions?	False				22.239
839	How many concussions will be sustained in the 2014 NFL season from helmet-to-helmet collisions?	True				-9.954
467	How many cities worldwide will have at least one Bitcoin exchanger on December 31, 2014?	Less than 5,000				-9.317
467	How many cities worldwide will have at least one Bitcoin exchanger on December 31, 2014?	5,001-5,250				-9.317
467	How many cities worldwide will have at least one Bitcoin exchanger on December 31, 2014?	5,251-5,500				-9.317
467	How many cities worldwide will have at least one Bitcoin exchanger on December 31, 2014?	5,501-5,750				-9.317
467	How many cities worldwide will have at least one Bitcoin exchanger on December 31, 2014?	5,751-6,000				-9.317
467	How many cities worldwide will have at least one Bitcoin exchanger on December 31, 2014?	Over 6,000				1.707
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	Cristobal				79.66
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	Dolly				79.66
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	Edouard				-68.078
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	Gonzalo				79.66
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	Hanna				79.661
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	Isaias				79.66
836	Which of the following Atlantic tropical storms will be the next to be upgraded to a hurricane?	None of these will be upgraded to a hurricane through November 30, 2014				-149.003
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	Fraunhofer Institute				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	Soitec (acquired Concentrix Solar)				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	CEA-Leti				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	The Helmholtz Center				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	Sharp				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	Spectrolab (part of Boeing)				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	NREL				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	A combination of institutions at least one of which is any of the named institutions on this list				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	An institution or team of institutions not on the list above				4.065
138	Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?	no one				-2.236
341	Will Paypal integrate Bitcoin payments by February 28, 2015?	False				1.862
341	Will Paypal integrate Bitcoin payments by February 28, 2015?	True				-6.413
827	Will the ALPHA and AEgIS experiments conducted by CERN indicate that the ratio of gravitational mass to inertial mass of antihydrogen is positive or negative?	Positive				-2.4
827	Will the ALPHA and AEgIS experiments conducted by CERN indicate that the ratio of gravitational mass to inertial mass of antihydrogen is positive or negative?	Negative				-2.4
827	Will the ALPHA and AEgIS experiments conducted by CERN indicate that the ratio of gravitational mass to inertial mass of antihydrogen is positive or negative?	No conclusive results will be reported by DEC 31 2017				5.487
57	On November 2015, what will be the Top 500 performance share by vendor?	IBM				-6.055
57	On November 2015, what will be the Top 500 performance share by vendor?	 CRAY				-6.055
57	On November 2015, what will be the Top 500 performance share by vendor?	 HP				-6.055
